zip,state_abbv,county,city,cz,moisture_regime_name,moisture_regime
1270,MA,Berkshire County,Windsor,5,moist,
1301,MA,Franklin County,Greenfield,5,moist,
1302,MA,Franklin County,Greenfield,5,moist,
1330,MA,Franklin County,Ashfield,5,moist,
1331,MA,Worcester County,Athol,5,moist,
1337,MA,Franklin County,Bernardston,5,moist,
1338,MA,Franklin County,Buckland,5,moist,
1339,MA,Franklin County,Charlemont,5,moist,
1340,MA,Franklin County,Colrain,5,moist,
1341,MA,Franklin County,Conway,5,moist,
1342,MA,Franklin County,Deerfield,5,moist,
1343,MA,Berkshire County,Drury,5,moist,
1344,MA,Franklin County,Erving,5,moist,
1346,MA,Franklin County,Heath,5,moist,
1347,MA,Franklin County,Lake Pleasant,5,moist,
1349,MA,Franklin County,Millers Falls,5,moist,
1350,MA,Franklin County,Monroe Bridge,5,moist,
1351,MA,Franklin County,Montague,5,moist,
1354,MA,Franklin County,Gill,5,moist,
1355,MA,Franklin County,New Salem,5,moist,
1360,MA,Franklin County,Northfield,5,moist,
1364,MA,Franklin County,Orange,5,moist,
1366,MA,Worcester County,Petersham,5,moist,
1367,MA,Franklin County,Rowe,5,moist,
1368,MA,Worcester County,Royalston,5,moist,
1370,MA,Franklin County,Shelburne Falls,5,moist,
1373,MA,Franklin County,South Deerfield,5,moist,
1375,MA,Franklin County,Sunderland,5,moist,
1376,MA,Franklin County,Turners Falls,5,moist,
1378,MA,Franklin County,Warwick,5,moist,
1379,MA,Franklin County,Wendell,5,moist,
1380,MA,Franklin County,Wendell Depot,5,moist,
1420,MA,Worcester County,Fitchburg,5,moist,
1430,MA,Worcester County,Ashburnham,5,moist,
1431,MA,Middlesex County,Ashby,5,moist,
1432,MA,Middlesex County,Ayer,5,moist,
1434,MA,Middlesex County,Devens,5,moist,
1436,MA,Worcester County,Baldwinville,5,moist,
1438,MA,Worcester County,East Templeton,5,moist,
1440,MA,Worcester County,Gardner,5,moist,
1441,MA,Worcester County,Westminster,5,moist,
1450,MA,Middlesex County,Groton,5,moist,
1451,MA,Worcester County,Harvard,5,moist,
1452,MA,Worcester County,Hubbardston,5,moist,
1453,MA,Worcester County,Leominster,5,moist,
1460,MA,Middlesex County,Littleton,5,moist,
1462,MA,Worcester County,Lunenburg,5,moist,
1463,MA,Middlesex County,Pepperell,5,moist,
1464,MA,Middlesex County,Shirley,5,moist,
1467,MA,Worcester County,Still River,5,moist,
1468,MA,Worcester County,Templeton,5,moist,
1469,MA,Middlesex County,Townsend,5,moist,
1471,MA,Middlesex County,Groton,5,moist,
1472,MA,Middlesex County,West Groton,5,moist,
1473,MA,Worcester County,Westminster,5,moist,
1474,MA,Middlesex County,West Townsend,5,moist,
1475,MA,Worcester County,Winchendon,5,moist,
1477,MA,Worcester County,Winchendon Springs,5,moist,
1501,MA,Worcester County,Auburn,5,moist,
1503,MA,Worcester County,Berlin,5,moist,
1504,MA,Worcester County,Blackstone,5,moist,
1505,MA,Worcester County,Boylston,5,moist,
1506,MA,Worcester County,Brookfield,5,moist,
1507,MA,Worcester County,Charlton,5,moist,
1508,MA,Worcester County,Charlton City,5,moist,
1509,MA,Worcester County,Charlton Depot,5,moist,
1510,MA,Worcester County,Clinton,5,moist,
1515,MA,Worcester County,East Brookfield,5,moist,
1516,MA,Worcester County,Douglas,5,moist,
1518,MA,Worcester County,Fiskdale,5,moist,
1519,MA,Worcester County,Grafton,5,moist,
1520,MA,Worcester County,Holden,5,moist,
1521,MA,Hampden County,Holland,5,moist,
1522,MA,Worcester County,Jefferson,5,moist,
1523,MA,Worcester County,Lancaster,5,moist,
1524,MA,Worcester County,Leicester,5,moist,
1525,MA,Worcester County,Linwood,5,moist,
1526,MA,Worcester County,Manchaug,5,moist,
1527,MA,Worcester County,Millbury,5,moist,
1529,MA,Worcester County,Millville,5,moist,
1531,MA,Worcester County,New Braintree,5,moist,
1532,MA,Worcester County,Northborough,5,moist,
1534,MA,Worcester County,Northbridge,5,moist,
1535,MA,Worcester County,North Brookfield,5,moist,
1536,MA,Worcester County,North Grafton,5,moist,
1537,MA,Worcester County,North Oxford,5,moist,
1538,MA,Worcester County,North Uxbridge,5,moist,
1540,MA,Worcester County,Oxford,5,moist,
1541,MA,Worcester County,Princeton,5,moist,
1542,MA,Worcester County,Rochdale,5,moist,
1543,MA,Worcester County,Rutland,5,moist,
1545,MA,Worcester County,Shrewsbury,5,moist,
1546,MA,Worcester County,Shrewsbury,5,moist,
1550,MA,Worcester County,Southbridge,5,moist,
1560,MA,Worcester County,South Grafton,5,moist,
1561,MA,Worcester County,South Lancaster,5,moist,
1562,MA,Worcester County,Spencer,5,moist,
1564,MA,Worcester County,Sterling,5,moist,
1566,MA,Worcester County,Sturbridge,5,moist,
1568,MA,Worcester County,Upton,5,moist,
1569,MA,Worcester County,Uxbridge,5,moist,
1570,MA,Worcester County,Webster,5,moist,
1571,MA,Worcester County,Dudley,5,moist,
1581,MA,Worcester County,Westborough,5,moist,
1583,MA,Worcester County,West Boylston,5,moist,
1585,MA,Worcester County,West Brookfield,5,moist,
1588,MA,Worcester County,Whitinsville,5,moist,
1590,MA,Worcester County,Sutton,5,moist,
1601,MA,Worcester County,Worcester,5,moist,
1602,MA,Worcester County,Worcester,5,moist,
1603,MA,Worcester County,Worcester,5,moist,
1604,MA,Worcester County,Worcester,5,moist,
1605,MA,Worcester County,Worcester,5,moist,
1606,MA,Worcester County,Worcester,5,moist,
1607,MA,Worcester County,Worcester,5,moist,
1608,MA,Worcester County,Worcester,5,moist,
1609,MA,Worcester County,Worcester,5,moist,
1610,MA,Worcester County,Worcester,5,moist,
1611,MA,Worcester County,Cherry Valley,5,moist,
1612,MA,Worcester County,Paxton,5,moist,
1613,MA,Worcester County,Worcester,5,moist,
1614,MA,Worcester County,Worcester,5,moist,
1615,MA,Worcester County,Worcester,5,moist,
1653,MA,Worcester County,Worcester,5,moist,
1655,MA,Worcester County,Worcester,5,moist,
1701,MA,Middlesex County,Framingham,5,moist,
1702,MA,Middlesex County,Framingham,5,moist,
1703,MA,Middlesex County,Framingham,5,moist,
1704,MA,Middlesex County,Framingham,5,moist,
1718,MA,Middlesex County,Village Of Nagog Woods,5,moist,
1719,MA,Middlesex County,Boxborough,5,moist,
1720,MA,Middlesex County,Acton,5,moist,
1721,MA,Middlesex County,Ashland,5,moist,
1730,MA,Middlesex County,Bedford,5,moist,
1731,MA,Middlesex County,Hanscom Afb,5,moist,
1740,MA,Worcester County,Bolton,5,moist,
1741,MA,Middlesex County,Carlisle,5,moist,
1742,MA,Middlesex County,Concord,5,moist,
1745,MA,Worcester County,Fayville,5,moist,
1746,MA,Middlesex County,Holliston,5,moist,
1747,MA,Worcester County,Hopedale,5,moist,
1748,MA,Middlesex County,Hopkinton,5,moist,
1749,MA,Middlesex County,Hudson,5,moist,
1752,MA,Middlesex County,Marlborough,5,moist,
1754,MA,Middlesex County,Maynard,5,moist,
1756,MA,Worcester County,Mendon,5,moist,
1757,MA,Worcester County,Milford,5,moist,
1760,MA,Middlesex County,Natick,5,moist,
1770,MA,Middlesex County,Sherborn,5,moist,
1772,MA,Worcester County,Southborough,5,moist,
1773,MA,Middlesex County,Lincoln,5,moist,
1775,MA,Middlesex County,Stow,5,moist,
1776,MA,Middlesex County,Sudbury,5,moist,
1778,MA,Middlesex County,Wayland,5,moist,
1784,MA,Middlesex County,Woodville,5,moist,
1801,MA,Middlesex County,Woburn,5,moist,
1803,MA,Middlesex County,Burlington,5,moist,
1805,MA,Middlesex County,Burlington,5,moist,
1810,MA,Essex County,Andover,5,moist,
1812,MA,Essex County,Andover,5,moist,
1815,MA,Middlesex County,Woburn,5,moist,
1821,MA,Middlesex County,Billerica,5,moist,
1824,MA,Middlesex County,Chelmsford,5,moist,
1826,MA,Middlesex County,Dracut,5,moist,
1827,MA,Middlesex County,Dunstable,5,moist,
1830,MA,Essex County,Haverhill,5,moist,
1831,MA,Essex County,Haverhill,5,moist,
1832,MA,Essex County,Haverhill,5,moist,
1833,MA,Essex County,Georgetown,5,moist,
1834,MA,Essex County,Groveland,5,moist,
1835,MA,Essex County,Haverhill,5,moist,
1840,MA,Essex County,Lawrence,5,moist,
1841,MA,Essex County,Lawrence,5,moist,
1842,MA,Essex County,Lawrence,5,moist,
1843,MA,Essex County,Lawrence,5,moist,
1844,MA,Essex County,Methuen,5,moist,
1845,MA,Essex County,North Andover,5,moist,
1850,MA,Middlesex County,Lowell,5,moist,
1851,MA,Middlesex County,Lowell,5,moist,
1852,MA,Middlesex County,Lowell,5,moist,
1853,MA,Middlesex County,Lowell,5,moist,
1854,MA,Middlesex County,Lowell,5,moist,
1860,MA,Essex County,Merrimac,5,moist,
1862,MA,Middlesex County,North Billerica,5,moist,
1863,MA,Middlesex County,North Chelmsford,5,moist,
1864,MA,Middlesex County,North Reading,5,moist,
1865,MA,Middlesex County,Nutting Lake,5,moist,
1866,MA,Middlesex County,Pinehurst,5,moist,
1867,MA,Middlesex County,Reading,5,moist,
1876,MA,Middlesex County,Tewksbury,5,moist,
1879,MA,Middlesex County,Tyngsboro,5,moist,
1880,MA,Middlesex County,Wakefield,5,moist,
1885,MA,Essex County,West Boxford,5,moist,
1886,MA,Middlesex County,Westford,5,moist,
1887,MA,Middlesex County,Wilmington,5,moist,
1888,MA,Middlesex County,Woburn,5,moist,
1889,MA,Middlesex County,North Reading,5,moist,
1890,MA,Middlesex County,Winchester,5,moist,
1901,MA,Essex County,Lynn,5,moist,
1902,MA,Essex County,Lynn,5,moist,
1903,MA,Essex County,Lynn,5,moist,
1904,MA,Essex County,Lynn,5,moist,
1905,MA,Essex County,Lynn,5,moist,
1906,MA,Essex County,Saugus,5,moist,
1907,MA,Essex County,Swampscott,5,moist,
1908,MA,Essex County,Nahant,5,moist,
1910,MA,Essex County,Lynn,5,moist,
1913,MA,Essex County,Amesbury,5,moist,
1915,MA,Essex County,Beverly,5,moist,
1921,MA,Essex County,Boxford,5,moist,
1922,MA,Essex County,Byfield,5,moist,
1923,MA,Essex County,Danvers,5,moist,
1929,MA,Essex County,Essex,5,moist,
1930,MA,Essex County,Gloucester,5,moist,
1931,MA,Essex County,Gloucester,5,moist,
1936,MA,Essex County,Hamilton,5,moist,
1937,MA,Essex County,Hathorne,5,moist,
1938,MA,Essex County,Ipswich,5,moist,
1940,MA,Essex County,Lynnfield,5,moist,
1944,MA,Essex County,Manchester,5,moist,
1945,MA,Essex County,Marblehead,5,moist,
1949,MA,Essex County,Middleton,5,moist,
1950,MA,Essex County,Newburyport,5,moist,
1951,MA,Essex County,Newbury,5,moist,
1952,MA,Essex County,Salisbury,5,moist,
1960,MA,Essex County,Peabody,5,moist,
1961,MA,Essex County,Peabody,5,moist,
1965,MA,Essex County,Prides Crossing,5,moist,
1966,MA,Essex County,Rockport,5,moist,
1969,MA,Essex County,Rowley,5,moist,
1970,MA,Essex County,Salem,5,moist,
1982,MA,Essex County,South Hamilton,5,moist,
1983,MA,Essex County,Topsfield,5,moist,
1984,MA,Essex County,Wenham,5,moist,
1985,MA,Essex County,West Newbury,5,moist,
2018,MA,Plymouth County,Accord,5,moist,
2019,MA,Norfolk County,Bellingham,5,moist,
2020,MA,Plymouth County,Brant Rock,5,moist,
2021,MA,Norfolk County,Canton,5,moist,
2025,MA,Norfolk County,Cohasset,5,moist,
2026,MA,Norfolk County,Dedham,5,moist,
2027,MA,Norfolk County,Dedham,5,moist,
2030,MA,Norfolk County,Dover,5,moist,
2032,MA,Norfolk County,East Walpole,5,moist,
2035,MA,Norfolk County,Foxboro,5,moist,
2038,MA,Norfolk County,Franklin,5,moist,
2040,MA,Plymouth County,Greenbush,5,moist,
2041,MA,Plymouth County,Green Harbor,5,moist,
2043,MA,Plymouth County,Hingham,5,moist,
2044,MA,Plymouth County,Hingham,5,moist,
2045,MA,Plymouth County,Hull,5,moist,
2047,MA,Plymouth County,Humarock,5,moist,
2048,MA,Bristol County,Mansfield,5,moist,
2050,MA,Plymouth County,Marshfield,5,moist,
2051,MA,Plymouth County,Marshfield Hills,5,moist,
2052,MA,Norfolk County,Medfield,5,moist,
2053,MA,Norfolk County,Medway,5,moist,
2054,MA,Norfolk County,Millis,5,moist,
2056,MA,Norfolk County,Norfolk,5,moist,
2059,MA,Plymouth County,North Marshfield,5,moist,
2060,MA,Plymouth County,North Scituate,5,moist,
2061,MA,Plymouth County,Norwell,5,moist,
2062,MA,Norfolk County,Norwood,5,moist,
2065,MA,Plymouth County,Ocean Bluff,5,moist,
2066,MA,Plymouth County,Scituate,5,moist,
2067,MA,Norfolk County,Sharon,5,moist,
2070,MA,Norfolk County,Sheldonville,5,moist,
2071,MA,Norfolk County,South Walpole,5,moist,
2072,MA,Norfolk County,Stoughton,5,moist,
2081,MA,Norfolk County,Walpole,5,moist,
2090,MA,Norfolk County,Westwood,5,moist,
2093,MA,Norfolk County,Wrentham,5,moist,
2108,MA,Suffolk County,Boston,5,moist,
2109,MA,Suffolk County,Boston,5,moist,
2110,MA,Suffolk County,Boston,5,moist,
2111,MA,Suffolk County,Boston,5,moist,
2112,MA,Suffolk County,Boston,5,moist,
2113,MA,Suffolk County,Boston,5,moist,
2114,MA,Suffolk County,Boston,5,moist,
2115,MA,Suffolk County,Boston,5,moist,
2116,MA,Suffolk County,Boston,5,moist,
2117,MA,Suffolk County,Boston,5,moist,
2118,MA,Suffolk County,Boston,5,moist,
2119,MA,Suffolk County,Roxbury,5,moist,
2120,MA,Suffolk County,Roxbury Crossing,5,moist,
2121,MA,Suffolk County,Dorchester,5,moist,
2122,MA,Suffolk County,Dorchester,5,moist,
2123,MA,Suffolk County,Boston,5,moist,
2124,MA,Suffolk County,Dorchester Center,5,moist,
2125,MA,Suffolk County,Dorchester,5,moist,
2126,MA,Suffolk County,Mattapan,5,moist,
2127,MA,Suffolk County,Boston,5,moist,
2128,MA,Suffolk County,Boston,5,moist,
2129,MA,Suffolk County,Charlestown,5,moist,
2130,MA,Suffolk County,Jamaica Plain,5,moist,
2131,MA,Suffolk County,Roslindale,5,moist,
2132,MA,Suffolk County,West Roxbury,5,moist,
2133,MA,Suffolk County,Boston,5,moist,
2134,MA,Suffolk County,Allston,5,moist,
2135,MA,Suffolk County,Brighton,5,moist,
2136,MA,Suffolk County,Hyde Park,5,moist,
2137,MA,Suffolk County,Readville,5,moist,
2138,MA,Middlesex County,Cambridge,5,moist,
2139,MA,Middlesex County,Cambridge,5,moist,
2140,MA,Middlesex County,Cambridge,5,moist,
2141,MA,Middlesex County,Cambridge,5,moist,
2142,MA,Middlesex County,Cambridge,5,moist,
2143,MA,Middlesex County,Somerville,5,moist,
2144,MA,Middlesex County,Somerville,5,moist,
2145,MA,Middlesex County,Somerville,5,moist,
2148,MA,Middlesex County,Malden,5,moist,
2149,MA,Middlesex County,Everett,5,moist,
2150,MA,Suffolk County,Chelsea,5,moist,
2151,MA,Suffolk County,Revere,5,moist,
2152,MA,Suffolk County,Winthrop,5,moist,
2153,MA,Middlesex County,Medford,5,moist,
2155,MA,Middlesex County,Medford,5,moist,
2156,MA,Middlesex County,West Medford,5,moist,
2163,MA,Suffolk County,Boston,5,moist,
2169,MA,Norfolk County,Quincy,5,moist,
2170,MA,Norfolk County,Quincy,5,moist,
2171,MA,Norfolk County,Quincy,5,moist,
2176,MA,Middlesex County,Melrose,5,moist,
2180,MA,Middlesex County,Stoneham,5,moist,
2184,MA,Norfolk County,Braintree,5,moist,
2185,MA,Norfolk County,Braintree,5,moist,
2186,MA,Norfolk County,Milton,5,moist,
2187,MA,Norfolk County,Milton Village,5,moist,
2188,MA,Norfolk County,Weymouth,5,moist,
2189,MA,Norfolk County,East Weymouth,5,moist,
2190,MA,Norfolk County,South Weymouth,5,moist,
2191,MA,Norfolk County,North Weymouth,5,moist,
2196,MA,Suffolk County,Boston,5,moist,
2199,MA,Suffolk County,Boston,5,moist,
2201,MA,Suffolk County,Boston,5,moist,
2203,MA,Suffolk County,Boston,5,moist,
2205,MA,Suffolk County,Boston,5,moist,
2210,MA,Suffolk County,Boston,5,moist,
2211,MA,Suffolk County,Boston,5,moist,
2212,MA,Suffolk County,Boston,5,moist,
2215,MA,Suffolk County,Boston,5,moist,
2217,MA,Suffolk County,Boston,5,moist,
2222,MA,Suffolk County,Boston,5,moist,
2228,MA,Suffolk County,East Boston,5,moist,
2238,MA,Middlesex County,Cambridge,5,moist,
2241,MA,Suffolk County,Boston,5,moist,
2269,MA,Norfolk County,Quincy,5,moist,
2283,MA,Suffolk County,Boston,5,moist,
2297,MA,Suffolk County,Boston,5,moist,
2301,MA,Plymouth County,Brockton,5,moist,
2302,MA,Plymouth County,Brockton,5,moist,
2303,MA,Plymouth County,Brockton,5,moist,
2304,MA,Plymouth County,Brockton,5,moist,
2305,MA,Plymouth County,Brockton,5,moist,
2322,MA,Norfolk County,Avon,5,moist,
2324,MA,Plymouth County,Bridgewater,5,moist,
2325,MA,Plymouth County,Bridgewater,5,moist,
2327,MA,Plymouth County,Bryantville,5,moist,
2330,MA,Plymouth County,Carver,5,moist,
2331,MA,Plymouth County,Duxbury,5,moist,
2332,MA,Plymouth County,Duxbury,5,moist,
2333,MA,Plymouth County,East Bridgewater,5,moist,
2334,MA,Bristol County,Easton,5,moist,
2337,MA,Plymouth County,Elmwood,5,moist,
2338,MA,Plymouth County,Halifax,5,moist,
2339,MA,Plymouth County,Hanover,5,moist,
2340,MA,Plymouth County,Hanover,5,moist,
2341,MA,Plymouth County,Hanson,5,moist,
2343,MA,Norfolk County,Holbrook,5,moist,
2344,MA,Plymouth County,Middleboro,5,moist,
2345,MA,Plymouth County,Manomet,5,moist,
2346,MA,Plymouth County,Middleboro,5,moist,
2347,MA,Plymouth County,Lakeville,5,moist,
2348,MA,Plymouth County,Lakeville,5,moist,
2349,MA,Plymouth County,Middleboro,5,moist,
2350,MA,Plymouth County,Monponsett,5,moist,
2351,MA,Plymouth County,Abington,5,moist,
2355,MA,Plymouth County,North Carver,5,moist,
2356,MA,Bristol County,North Easton,5,moist,
2357,MA,Bristol County,North Easton,5,moist,
2358,MA,Plymouth County,North Pembroke,5,moist,
2359,MA,Plymouth County,Pembroke,5,moist,
2360,MA,Plymouth County,Plymouth,5,moist,
2361,MA,Plymouth County,Plymouth,5,moist,
2362,MA,Plymouth County,Plymouth,5,moist,
2364,MA,Plymouth County,Kingston,5,moist,
2366,MA,Plymouth County,South Carver,5,moist,
2367,MA,Plymouth County,Plympton,5,moist,
2368,MA,Norfolk County,Randolph,5,moist,
2370,MA,Plymouth County,Rockland,5,moist,
2375,MA,Bristol County,South Easton,5,moist,
2379,MA,Plymouth County,West Bridgewater,5,moist,
2381,MA,Plymouth County,White Horse Beach,5,moist,
2382,MA,Plymouth County,Whitman,5,moist,
2420,MA,Middlesex County,Lexington,5,moist,
2421,MA,Middlesex County,Lexington,5,moist,
2445,MA,Norfolk County,Brookline,5,moist,
2446,MA,Norfolk County,Brookline,5,moist,
2447,MA,Norfolk County,Brookline Village,5,moist,
2451,MA,Middlesex County,Waltham,5,moist,
2452,MA,Middlesex County,Waltham,5,moist,
2453,MA,Middlesex County,Waltham,5,moist,
2454,MA,Middlesex County,Waltham,5,moist,
2455,MA,Middlesex County,North Waltham,5,moist,
2456,MA,Middlesex County,New Town,5,moist,
2457,MA,Norfolk County,Babson Park,5,moist,
2458,MA,Middlesex County,Newton,5,moist,
2459,MA,Middlesex County,Newton Center,5,moist,
2460,MA,Middlesex County,Newtonville,5,moist,
2461,MA,Middlesex County,Newton Highlands,5,moist,
2462,MA,Middlesex County,Newton Lower Falls,5,moist,
2464,MA,Middlesex County,Newton Upper Falls,5,moist,
2465,MA,Middlesex County,West Newton,5,moist,
2466,MA,Middlesex County,Auburndale,5,moist,
2467,MA,Middlesex County,Chestnut Hill,5,moist,
2468,MA,Middlesex County,Waban,5,moist,
2471,MA,Middlesex County,Watertown,5,moist,
2472,MA,Middlesex County,Watertown,5,moist,
2474,MA,Middlesex County,Arlington,5,moist,
2475,MA,Middlesex County,Arlington Heights,5,moist,
2476,MA,Middlesex County,Arlington,5,moist,
2478,MA,Middlesex County,Belmont,5,moist,
2479,MA,Middlesex County,Waverley,5,moist,
2481,MA,Norfolk County,Wellesley Hills,5,moist,
2482,MA,Norfolk County,Wellesley,5,moist,
2492,MA,Norfolk County,Needham,5,moist,
2493,MA,Middlesex County,Weston,5,moist,
2494,MA,Norfolk County,Needham Heights,5,moist,
2532,MA,Barnstable County,Buzzards Bay,5,moist,
2534,MA,Barnstable County,Cataumet,5,moist,
2535,MA,Dukes County,Chilmark,5,moist,
2536,MA,Barnstable County,East Falmouth,5,moist,
2537,MA,Barnstable County,East Sandwich,5,moist,
2538,MA,Plymouth County,East Wareham,5,moist,
2539,MA,Dukes County,Edgartown,5,moist,
2540,MA,Barnstable County,Falmouth,5,moist,
2541,MA,Barnstable County,Falmouth,5,moist,
2542,MA,Barnstable County,Buzzards Bay,5,moist,
2543,MA,Barnstable County,Woods Hole,5,moist,
2552,MA,Dukes County,Menemsha,5,moist,
2553,MA,Barnstable County,Monument Beach,5,moist,
2554,MA,Nantucket County,Nantucket,5,moist,
2556,MA,Barnstable County,North Falmouth,5,moist,
2557,MA,Dukes County,Oak Bluffs,5,moist,
2558,MA,Plymouth County,Onset,5,moist,
2559,MA,Barnstable County,Pocasset,5,moist,
2561,MA,Barnstable County,Sagamore,5,moist,
2562,MA,Barnstable County,Sagamore Beach,5,moist,
2563,MA,Barnstable County,Sandwich,5,moist,
2564,MA,Nantucket County,Siasconset,5,moist,
2568,MA,Dukes County,Vineyard Haven,5,moist,
2571,MA,Plymouth County,Wareham,5,moist,
